NOME,PRATO,DESCRICAO,ENDERECO,TELEFONE,IMG_URL
Bar da Cíntia,Língua bêbada,"Língua marinada na cerveja Caracu, cheiro-verde, mandioca cozida na manteiga de garrafa.","Rua Pastor Rui Franco, 257 | São João Batista (Venda Nova), Belo Horizonte – MG",3136469725,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19142858/bardacinthia_linguabeba_bh_2025_rodneycosta_unibh-8675-scaled.jpg
Bar da Fia,Língua no rabo,"Língua bovina com rabada, servida com polenta, quiabo frito e agrião.","Rua dos Astecas, 2722 | Santa Mônica, Belo Horizonte – MG",31985402775,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15051142/bardafia_linguanorabo_bh_2025_rodneycosta_unibh-7352-scaled.jpg
Bar da Lu,Barril Mineiro Sô,"Ossobuco marinado com ervas finas e vinho tinto, acompanhado de polenta coberta com queijo parmesão e muçarela gratinada, crispy de mostarda e torresminho pururuca.","Rua Geralda Marinho, 41 | São João Batista (Venda Nova), Belo Horizonte – MG",31999327787,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19143046/bardalu_barrilmineiroso_bh_2025_rodneycosta_unibh-8734-scaled.jpg
Bar da Silvânia,"Õ trem bão, sô",Maçã de peito com mandioquinha e torradas de pão francês.,"Rua Soares Nogueira, 801 | Camargos, Belo Horizonte – MG",31993387815,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050951/bardasilvania_otrembaumso_bh_2025_rodneycosta_unibh-8183-scaled.jpg
Bar do Bartolomeu,"Bem Bolado, Uai!!",Bolinho de rabada com catupiry e alho-poró. Acompanhado com molho da casa e molho de geleia de pimenta.,"Rua Arthur Luchesi, 356 | Santa Helena (Barreiro), Belo Horizonte – MG",31975479909,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15051018/bardobartolomeu_bembolado_bh_2025_fernandaoliveira_unibh-8039-scaled.jpg
Bar do Bem,A Furiosa,"Miolo de acém cozido na cerveja e tempero da casa, servido com torradas feitas na manteiga e ervas, pão de queijo assado e pastel de vento.","RUA VICENTINA COUTINHO CAMARGOS, 100, BELO HORIZONTE – MG",31991745708,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19143452/bardobem_furiosa_bh_2025_rodneycosta_unibh-9134-scaled.jpg
Bar do Kim,Músculo à moda Kim!,"Músculo bovino acompanhado de champignon, acompanhado de torradas.","Rua Júlio de Castilho, 1071 | Palmeiras, Belo Horizonte – MG",31987768550,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19143850/bardokim_musculoamodadokim_bh_2025_isaquerodrigues_unibh-9323-scaled.jpg
Bar do Nelson,Bolinho de prata,Bolinho de feijoada na cama de couve crispy.,"Avenida Vicente Risola, 1000 | Santa Inês, Belo Horizonte – MG",31996726908,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19145234/bardonelson_bolinhodeprata_bh_2025_amandacantanhede_unibh-9036-scaled.jpg
Bar do Primo,Custelinha di Buteco,Costelinha com batata e queijo ao molho branco.,"Avenida Amazonas, 4649 | Nova Suíça, Belo Horizonte – MG",31995323260,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19145355/primo_costelinhadebuteco_bh_2025_isaquerodrigues_unibh-8526-scaled.jpg
Bar do Regis,Trilhas de Minas,"Almôndegas ao molho de tomates, servidas com polenta.","Rua Gávea, 422 | Jardim América, Belo Horizonte – MG","(31) 971158894
(31) 3653-8071",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050928/bardoregis_trilhademinas_bh_2025_amandacantanhede_unibh-8270-scaled.jpg
Bar do Romeu,Pé no Rabo,"Rabada com pé de porco acompanhada de farofa de abacaxi, geleia de pimenta e torradinha.","Rua Aniri, 8 | Guarani, Belo Horizonte – MG","(31) 996549384
(31) 98640-2562",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050906/bardoromeu_penorabo_bh_2025_rodneycosta_unibh-7542-scaled.jpg
Bar dos Meninos,Bodas de prata,"Costelinha suína, marinada em vinho tinto, servida com mostarda em folhas, acompanhada de creme de batata.","Rua Lindolfo Deodoro, 503 | Salgado Filho, Belo Horizonte – MG",31983803201,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19145725/bardosmeninos_bodasdeprata_bh_2025_rodneycosta_unibh-8218-scaled.jpg
Bar Du Du,Porco sem vergonha,"Picadinho de carne de porco ao molho, acompanhado de um creme de batata.","Rua Violeta, 369 | Esplanada, Belo Horizonte – MG","(31) 3646-1551
(31) 98717-0450",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/16083316/bardudu_porcosemvergonha_bh_2025_isaquerodrigues_unibh-8899-scaled.jpg
Bar e Restaurante Bom Sabor,Bora Comemorar,"Fraldinha de boi recheada com carne moída de porco, bacon e muçarela, assado na churrasqueira. Acompanhado de farofa e vinagrete.","Rua Java, 386 | Nova Suíça, Belo Horizonte – MG",3133348205,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/24070354/restbomsabor_boracomemorar_bh_2025_amandacantanhede_unibh-9066-scaled.jpg
Bar e Restaurante do Joãozinho,Trio Mineiro,"Quarteto: carne de lata bovina frita, torresmo pururuca, queijo temperado à moda da casa, molho de alho-poró.","Rua Pinheiro Chagas, 295 | Barreiro, Belo Horizonte – MG",31986444529,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/24070652/bardojoaozinho_triomineiro_bh_2025_rodneycosta_unibh-7419-scaled.jpg
