NOME,PRATO,DESCRICAO,ENDERECO,TELEFONE,IMG_URL,LATITUDE,LONGITUDE,id
Espettinho.com,Mineirinho Gratinado 2.5,Almôndegas suínas gratinadas com molho de tomate caseiro e muçarela. Acompanha 1 Espetinho de ‘Sacanagem’ e um licor de doce de leite de entrada.,"RUA ELI SEABRA FILHO, 510 - BURITIS , Belo Horizonte, MG, Brasil","(34) 99915-7000
(31) 99915-2800",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153114/espettinhocom_mineirimgratinado_bh_2025_rodneycosta_unibh-9129-scaled.jpg,-19.9756214,-43.9751097,2644
Geraldin da Cida,"Sô mineiro, uai!",Alcatra com farofa de jiló com bacon. Acompanha uma sobremesa de doce de leite com castanha e bacon.,"RUA CONTRIA, 1459 - GRAJAU , Belo Horizonte, MG, Brasil",(31) 998322265,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153406/geraldimdacida_soumineirouai_bh_2025_rodneycosta_unibh-8364-scaled.jpg,-19.936342,-43.968268,9315
Leo da Quadra,Lembe os beiço,"Bisteca bovina, acompanhada de pirão e torradas.","RUA OLIVEIRA LISBOA, 107 - BARREIRO , Belo Horizonte, MG, Brasil",31996739688,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19154147/leodaquadra_lembeosbeicos_bh_2025_rodneycosta_unibh-7632-scaled.jpg,-19.9761639,-44.0131047,7914
Quitandas da Tia Nice Bar,QUÊ SÉ QUÉ!,"Disco de carne recheada com provolone, acompanhado de molhos especiais da casa e cachaça artesanal.","RUA ALABASTRO, 146 - SAGRADA FAMILIA , Belo Horizonte, MG, Brasil",3198240120,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044911/quitandatianice_queceque_bh_2025_rodneycosta_unibh-7389-scaled.jpg,-19.9113359,-43.9208918,5919
Resenha da Naty,Trem Bão Demais Sô,"Bolinho de linguiça suína, recheado de muçarela e um toque de limão para finalizar.","RUA GONCALVES LEDO, 288 - CACHOEIRINHA , Belo Horizonte, MG, Brasil",31999284873,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044659/resenhadanaty_trembaumdemasso_bh_2025_isaquerodrigues_unibh-8123-scaled.jpg,-19.8930163,-43.9460919,7982
Santa Boemia,Sextou BB!,"Bolinhos de feijoada, recheados com calabresa e couve, acompanhados de torresminho pururuca, vinagrete da casa, laranja e uma dose de cachaça.","RUA MARMORE, 534 - SANTA TEREZA , Belo Horizonte, MG, Brasil",(31) 99132-2623,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19171327/santaboemia_sextoubb_bh_2025_rodneycosta_unibh-7592-scaled.jpg,-19.9162948,-43.9182816,683
Silvio's Bar,Frangônia,"Coxinha da asa de frango empanada, acompanha batata rústica e molho parmesão e ervas.","RUA BEGONIA, 199 - ESPLANADA , Belo Horizonte, MG, Brasil",3133183273,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19171521/silviosbar_frangonia_bh_2025_rodneycosta_unibh-7982-scaled.jpg,-19.9024451,-43.9055043,4669
Sinhá Erozitha Bistrôteco,"Êêêê, lasqueira!!!",Panturrilha suína no seu molho com legumes grelhados.,"RUA SANTO AMARO, 257 - SAGRADA FAMILIA , Belo Horizonte, MG, Brasil",31998862655,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19171610/sinhaerozitha_elasquera_bh_2025_isaquerodrigues_unibh-8251-scaled.jpg,-19.9011834,-43.9166512,4465
Spetim,Tá na boca do povo,"Língua de boi, fatiada bem fininha, num encorpado molho de tomate e manjericão, acompanhada por um mineiríssimo angu de moinho d’água e mostarda passadinha na panela.","RUA ILACIR PEREIRA LIMA, 518 - SILVEIRA , Belo Horizonte, MG, Brasil",3134821232,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19171715/spetim_tanabocadopovo_bh_2025_rodneycosta_unibh-7565-scaled.jpg,-19.8884578,-43.9304315,2281
Tanganica Art Bar,Vegano colorido,"Kibes de beterraba recheados com requeijão vegano, fuxicos de inhame com alho poró, pasteizinhos com recheio de chimeji preto e croquetinhos de abóbora vermelha recheados com ora-pro-nóbis.","RUA PADRE DEMERVAL GOMES, 380 - CORACAO EUCARISTICO , Belo Horizonte, MG, Brasil",31992112697,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044450/tanganica_veganocolorido_bh_2025_isaquerodrigues_unibh-7903-scaled.jpg,-19.9267672,-43.9901954,3412
Toninho - Alto Forno,Joelho da Lili,"Joelho de porco ao molho da Lili, acompanhado de polenta com queijo frita e farofa de Neston.","RUA MIRACEMA, 100 - SANTO ANDRE , Belo Horizonte, MG, Brasil",3136544064,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044346/toninhoaltoforno_joelhodalili_bh_2025_rodneycosta_unibh-8417-scaled.jpg,-19.8999841,-43.9522977,1793
